"ClassName","RegistryName","Package","SubPath","Category"
"EntityBlackHole","entity_black_hole","com.hbm.entity.effect","effect","MISC"
"EntityCloudFleija","entity_cloud_fleija","com.hbm.entity.effect","effect","MISC"
"EntityCloudFleijaRainbow","entity_fleija_rainbow","com.hbm.entity.effect","effect","MISC"
"EntityCloudSolinium","entity_clound_solinium","com.hbm.entity.effect","effect","MISC"
"EntityCloudTom","entity_moonstone_blast","com.hbm.entity.effect","effect","MISC"
"EntityEMPBlast","entity_emp_blast","com.hbm.entity.effect","effect","MISC"
"EntityFalloutRain","entity_fallout_rain","com.hbm.entity.effect","effect","MISC"
"EntityFireLingering","entity_fire_lingering","com.hbm.entity.effect","effect","MISC"
"EntityMist","entity_mist","com.hbm.entity.effect","effect","MISC"
"EntityNukeTorex","entity_effect_torex","com.hbm.entity.effect","effect","MISC"
"EntityQuasar","entity_digamma_quasar","com.hbm.entity.effect","effect","MISC"
"EntityRagingVortex","entity_raging_vortex","com.hbm.entity.effect","effect","MISC"
"EntitySpear","entity_spear","com.hbm.entity.effect","effect","MISC"
"EntityVortex","entity_vortex","com.hbm.entity.effect","effect","MISC"
"EntityDisperserCanister","entity_disperser","com.hbm.entity.grenade","grenade","MISC"
"EntityGrenadeBouncyGeneric","entity_grenade_bouncy_generic","com.hbm.entity.grenade","grenade","MISC"
"EntityGrenadeImpactGeneric","entity_grenade_impact_generic","com.hbm.entity.grenade","grenade","MISC"
"EntityGrenadeUniversal","entity_grenade_universal","com.hbm.entity.grenade","grenade","MISC"
"EntityDeliveryDrone","entity_delivery_drone","com.hbm.entity.item","item","MISC"
"EntityFireworks","entity_firework_ball","com.hbm.entity.item","item","MISC"
"EntityItemBuoyant","entity_item_buoyant","com.hbm.entity.item","item","MISC"
"EntityMovingItem","entity_c_item","com.hbm.entity.item","item","MISC"
"EntityMovingPackage","entity_c_package","com.hbm.entity.item","item","MISC"
"EntityParachuteCrate","entity_parachute_crate","com.hbm.entity.item","item","MISC"
"EntityRequestDrone","entity_request_drone","com.hbm.entity.item","item","MISC"
"EntityTNTPrimedBase","entity_ntm_tnt_primed","com.hbm.entity.item","item","MISC"
"EntityBalefire","entity_balefire","com.hbm.entity.logic","logic","MISC"
"EntityBomber","entity_bomber","com.hbm.entity.logic","logic","MISC"
"EntityC130","entity_c130","com.hbm.entity.logic","logic","MISC"
"EntityDeathBlast","entity_laser_blast","com.hbm.entity.logic","logic","MISC"
"EntityEMP","entity_emp","com.hbm.entity.logic","logic","MISC"
"EntityNukeExplosionMK3","entity_nuke_mk3","com.hbm.entity.logic","logic","MISC"
"EntityNukeExplosionMK5","entity_nuke_mk5","com.hbm.entity.logic","logic","MISC"
"EntityTomBlast","entity_tom_bust","com.hbm.entity.logic","logic","MISC"
"EntityBobmazon","entity_bobmazon","com.hbm.entity.missile","missile","MISC"
"EntityBombletSelena","entity_selena","com.hbm.entity.missile","missile","MISC"
"EntityMinerRocket","entity_miner_rocket","com.hbm.entity.missile","missile","MISC"
"EntityMIRV","entity_mirvlet","com.hbm.entity.missile","missile","MISC"
"EntityMissileAntiBallistic","entity_missile_ab","com.hbm.entity.missile","missile","MISC"
"EntityMissileCustom","entity_custom_missile","com.hbm.entity.missile","missile","MISC"
"EntityMissileShuttle","missile_shuttle","com.hbm.entity.missile","missile","MISC"
"EntityMissileStealth","entity_missile_stealth","com.hbm.entity.missile","missile","MISC"
"EntityMissileTier0","entity_missile_micro","com.hbm.entity.missile","missile","MISC"
"EntityMissileTier1","entity_missile_generic","com.hbm.entity.missile","missile","MISC"
"EntityMissileTier2","entity_missile_strong","com.hbm.entity.missile","missile","MISC"
"EntityMissileTier3","entity_missile_burst","com.hbm.entity.missile","missile","MISC"
"EntityMissileTier4","entity_missile_nuclear","com.hbm.entity.missile","missile","MISC"
"EntitySoyuz","entity_soyuz","com.hbm.entity.missile","missile","MISC"
"EntitySoyuzCapsule","entity_soyuz_capsule","com.hbm.entity.missile","missile","MISC"
"EntityCreeperGold","entity_mob_gold_creeper","com.hbm.entity.mob","mob","MISC"
"EntityCreeperNuclear","entity_nuclear_creeper","com.hbm.entity.mob","mob","MISC"
"EntityCreeperPhosgene","entity_mob_phosgene_creeper","com.hbm.entity.mob","mob","MISC"
"EntityCreeperTainted","entity_tainted_creeper","com.hbm.entity.mob","mob","MISC"
"EntityCreeperVolatile","entity_mob_volatile_creeper","com.hbm.entity.mob","mob","MISC"
"EntityCyberCrab","entity_cyber_crab","com.hbm.entity.mob","mob","CREATURE"
"EntityDuck","entity_fucc_a_ducc","com.hbm.entity.mob","mob","MISC"
"EntityDummy","entity_ntm_test_dummy","com.hbm.entity.mob","mob","CREATURE"
"EntityFBI","entity_ntm_fbi","com.hbm.entity.mob","mob","CREATURE"
"EntityFBIDrone","entity_ntm_fbi_drone","com.hbm.entity.mob","mob","MISC"
"EntityGlowingOne","entity_glowing_one","com.hbm.entity.mob","mob","MISC"
"EntityHunterChopper","entity_hunter_chopper","com.hbm.entity.mob","mob","MISC"
"EntityMaskMan","entity_mask_man","com.hbm.entity.mob","mob","CREATURE"
"EntityParasiteMaggot","entity_parasite_maggot","com.hbm.entity.mob","mob","CREATURE"
"EntityPigeon","entity_pigeon","com.hbm.entity.mob","mob","CREATURE"
"EntityQuackos","entity_elder_one","com.hbm.entity.mob","mob","MISC"
"EntityRADBeast","entity_ntm_radiation_blaze","com.hbm.entity.mob","mob","CREATURE"
"EntityTaintCrab","entity_taint_crab","com.hbm.entity.mob","mob","MISC"
"EntityTeslaCrab","entity_tesla_crab","com.hbm.entity.mob","mob","MISC"
"EntityUFO","entity_ntm_ufo","com.hbm.entity.mob","mob","MISC"
"EntityUndeadSoldier","entity_ntm_undead_soldier","com.hbm.entity.mob","mob","CREATURE"
"EntityBOTPrimeBody","entity_balls_o_tron_seg","com.hbm.entity.mob.botprime","mob.botprime","MISC"
"EntityBOTPrimeHead","entity_balls_o_tron","com.hbm.entity.mob.botprime","mob.botprime","MISC"
"EntityGlyphid","entity_glyphid","com.hbm.entity.mob.glyphid","mob.glyphid","CREATURE"
"EntityGlyphidBehemoth","entity_glyphid_behemoth","com.hbm.entity.mob.glyphid","mob.glyphid","MISC"
"EntityGlyphidBlaster","entity_glyphid_blaster","com.hbm.entity.mob.glyphid","mob.glyphid","MISC"
"EntityGlyphidBombardier","entity_glyphid_bombardier","com.hbm.entity.mob.glyphid","mob.glyphid","MISC"
"EntityGlyphidBrawler","entity_glyphid_brawler","com.hbm.entity.mob.glyphid","mob.glyphid","MISC"
"EntityGlyphidBrenda","entity_glyphid_brenda","com.hbm.entity.mob.glyphid","mob.glyphid","MISC"
"EntityGlyphidDigger","entity_glyphid_digger","com.hbm.entity.mob.glyphid","mob.glyphid","MISC"
"EntityGlyphidNuclear","entity_glyphid_nuclear","com.hbm.entity.mob.glyphid","mob.glyphid","MISC"
"EntityGlyphidScout","entity_glyphid_scout","com.hbm.entity.mob.glyphid","mob.glyphid","MISC"
"EntityModFXShadow","entity_mod_fx_shadow","com.hbm.entity.particle","particle","MISC"
